Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Bengaluru Cafe,South Indian,100," Jayanagar, Bangalore",4.3,288.0,3.9,0.0,https://www.zomato.com/bangalore/bengaluru-cafe-jayanagar-bangalore,"6, 9th Cross, 9th Main Road, 2nd Block, Jayanagar, Bangalore",9.18E+11,13.05042275,77.57698761
The Konkan - Seafood Restaurant,"Konkan, Mangalorean, Chinese, Beverages",750," St. Marks Road, Bangalore",4.3,282.0,3.9,42.0,https://www.zomato.com/bangalore/the-konkan-seafood-restaurant-st-marks-road,"48/1, 1st Floor, Church Street, St. Marks Road, Bangalore",9.20E+11,12.97567912,77.60180399
Chikkanna Tiffin Room,South Indian,200," City Market, Bangalore",4.3,262.0,4.4,339.0,https://www.zomato.com/bangalore/chikkanna-tiffin-room-city-market,"32/1, 30th Cross, Cubbonpet Main Road, Chickpet, City Market, Bangalore",9.20E+11,12.968444,77.584417
Siddiqu Kabab Center,"Kebab, Fast Food, Rolls",150," Richmond Road, Bangalore",4.3,292.0,4.3,923.0,https://www.zomato.com/bangalore/siddiqu-kabab-center-richmond-road,"44, Aga Abudullah Street, Richmond Road, Bangalore",9.20E+11,12.96304767,77.60582127
Apsara Ice Creams,Ice Cream,300," HSR, Bangalore",4.3,280.0,4.5,715.0,https://www.zomato.com/bangalore/apsara-ice-creams-hsr-bangalore,"32/1, Ground Floor, 14th Cross, 9th Main, Sector 6, HSR Layout, HSR, Bangalore",9.19E+11,12.91516971,77.63556194
Kebapci,"BBQ, Turkish, Middle Eastern, Lebanese",650," Koramangala 6th Block, Bangalore",4.2,277.0,4.0,636.0,https://www.zomato.com/bangalore/kebapci-koramangala-6th-block-bangalore,"74, KHB Colony, 17th E Main Road, Koramangala 6th Block, Bangalore",9.20E+11,12.936221,77.622319
Grill Daddy,"American, Pizza, Burger, Steak, Sandwich, Continental, Beverages",800," Koramangala 1st Block, Bangalore",4.2,266.0,3.8,821.0,https://www.zomato.com/bangalore/grill-daddy-koramangala-1st-block-bangalore,"42, 1st Floor, 1st Main, Koramangala 1st Block, Bangalore",9.16E+11,12.929122,77.634665
Mangalore Pearl - Seafood Restaurant,"Mangalorean, Seafood",650," Ulsoor, Bangalore",4.2,204.0,4.1,419.0,https://www.zomato.com/bangalore/mangalore-pearl-seafood-restaurant-ulsoor-bangalore,"5/1, Skywalk Building, Assaye Road, Ulsoor, Bangalore",9.18E+11,12.99087123,77.61932451
Flax,"Cafe, Healthy Food, Salad",700," Indiranagar, Bangalore",4.2,201.0,4.2,1457.0,https://www.zomato.com/bangalore/flax-indiranagar-bangalore,"2212, HAL 3rd Stage, 80 Feet Road, Indiranagar, Bangalore",9.16E+11,12.967885,77.648157
Noon's,Biryani,300," HSR, Bangalore",4.2,211.0,4.2,465.0,https://www.zomato.com/bangalore/noons-hsr,"664, 9th Main, 25th Cross, Opposite Karur Vysya Bank, Sector 7, HSR, Bangalore",9.19E+11,12.90813144,77.63484478
The Bistro @ Global Village,"Mangalorean, Chinese, Mughlai, North Indian, Andhra",1000," Rajarajeshwari Nagar, Bangalore",4.2,199.0,4.2,867.0,https://www.zomato.com/bangalore/the-bistro-@-global-village-rajarajeshwari-nagar-bangalore,"687/671, B.E.M.L Layout, 7th stage, Mylasandra, Rajarajeshwari Nagar, Bangalore",9.16E+11,12.91489651,77.50098947
Hotel Dwarka,South Indian,100," Basavanagudi, Bangalore",4.2,320.0,3.5,0.0,https://www.zomato.com/bangalore/hotel-dwarka-basavanagudi,"Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",9.18E+11,12.93790278,77.5677577
SGS Non Veg - Gundu Pulav,South Indian,500," City Market, Bangalore",4.2,240.0,4.5,1506.0,https://www.zomato.com/bangalore/sgs-non-veg-gundu-pulav-city-market-bangalore,"21, Sowrastrapet, KV Temple Street, 2nd Cross, Near Chikpet Police Station, City Market, Bangalore",9.19E+11,12.970265,77.573028
Italian Creamery,"Desserts, Ice Cream, Beverages",300," HSR, Bangalore",4.2,220.0,4.3,159.0,https://www.zomato.com/bangalore/italian-creamery-hsr-bangalore,"1090L, 18Th Main Road, Sector 3, HSR, Bangalore",9.20E+11,12.91181089,77.64120229
Vera Italiano,"Italian, Pizza, Pasta",600," Kalyan Nagar, Bangalore",4.2,252.0,4.3,691.0,https://www.zomato.com/bangalore/vera-italiano-kalyan-nagar,"5M-402/A, 2nd Floor, HRBR 2nd Block, 5th Main Road, Kalyan Nagar, Bangalore",9.18E+11,13.0220141,77.63985749
Hotel Navayuga,Andhra,500," Majestic, Bangalore",4.2,278.0,4.3,1182.0,https://www.zomato.com/bangalore/hotel-navayuga-majestic,"1, Anupama Theater Complex, SC Road, Gandhi Nagar, Majestic, Bangalore",9.19E+11,12.97605387,77.57554416
Eating Love,Italian,700," Sarjapur Road, Bangalore",4.2,218.0,4.2,478.0,https://www.zomato.com/bangalore/eating-love-sarjapur-road,"1630/1504/05, Ground Floor, Kasavanhalli Hobli, Near Bata Show Room, Sarjapur Road, Bangalore",9.20E+11,12.91080631,77.68079303
Breads And Banter,"Fast Food, Continental, Desserts",700," Brookefield, Bangalore",4.2,247.0,3.8,3.0,https://www.zomato.com/bangalore/breads-and-banter-brookefield-bangalore,"620, Ground Floor, C Block, AECS Layout, Kundalahalli, Brookefield, Bangalore",9.20E+11,12.96417751,77.7170109
Upahara Darshini,South Indian,150," Basavanagudi, Bangalore",4.2,275.0,3.8,0.0,https://www.zomato.com/bangalore/upahara-darshini-basavanagudi,"DVG Road, Gandhi Bazar, Basavanagudi, Bangalore",9.18E+11,12.93937223,77.57126302
Gavran Misal,Maharashtrian,250," HSR, Bangalore",4.2,189.0,4.3,712.0,https://www.zomato.com/bangalore/gavran-misal-1-hsr-bangalore,"627, 1st Floor, 27th Main Road, Opposite HDFC Bank, Sector 1, HSR, Bengaluru",9.20E+11,12.91593735,77.65172761
The Roastery,Cafe,500," Kalyan Nagar, Bangalore",4.2,229.0,3.8,0.0,https://www.zomato.com/bangalore/the-roastery-kalyan-nagar-bangalore,"5th A Main Road, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",9.20E+11,13.02223067,77.64003485
Agape,"Lebanese, Arabian",300," Kalyan Nagar, Bangalore",4.2,166.0,3.4,0.0,https://www.zomato.com/bangalore/agape-3-kalyan-nagar,"428, 7th Main Road, HRBR Layout 1st Block, Kalyan Nagar, Bangalore",9.20E+11,13.02270236,77.6434426
Bombay Chowpaty Kulfi,"Ice Cream, Sandwich, Fast Food, Street Food, Beverages",300," Frazer Town, Bangalore",4.2,292.0,3.9,26.0,https://www.zomato.com/bangalore/bombay-chowpaty-kulfi-frazer-town-bangalore,"41/B, Mosque Complex, MM Road, Frazer Town, Bangalore",9.18E+11,13.00073069,77.61512853
Shakes Theory,"Beverages, Fast Food",400," Jayanagar, Bangalore",4.2,172.0,4.6,1435.0,https://www.zomato.com/bangalore/shakes-theory-1-jayanagar-bangalore,"766/25 1, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore",9.20E+11,12.91711772,77.57765874
Churn,"Desserts, Ice Cream, Fast Food",250," New BEL Road, Bangalore",4.2,123.0,4.4,132.0,https://www.zomato.com/bangalore/churn-1-new-bel-road-bangalore,"146, 2nd Cross Road, Jaladarsini Layout, Mathikere, New BEL Road, Bangalore",9.18E+11,13.03418623,77.56955411
